-2148746.875194	4426648.175185	4044662.478618	4.755983
-2148747.031661	4426648.584835	4044662.658970	4.861786
-2148747.155515	4426648.887698	4044662.667596	4.835773
-2148747.167659	4426648.840723	4044662.571948	4.756754
-2148747.161502	4426648.585500	4044662.453337	4.498095
-2148747.233794	4426648.712153	4044662.358936	4.627335
-2148747.331546	4426649.047388	4044662.278263	4.882362
-2148747.356069	4426649.351154	4044662.189273	4.919068
-2148747.392098	4426649.635935	4044662.107115	5.012320
-2148747.347216	4426649.540641	4044662.105816	4.993939
-2148747.257865	4426649.542720	4044662.134924	5.037393
-2148747.215221	4426649.627705	4044662.242425	5.141848
-2148747.165403	4426649.339819	4044662.354174	5.182062
-2148747.208638	4426649.220570	4044662.555194	5.355697
-2148747.286152	4426649.354173	4044662.671846	5.473731
-2148747.316566	4426649.409481	4044662.702345	5.287942
-2148747.390611	4426649.582300	4044662.644914	5.131626
-2148747.462018	4426649.740947	4044662.646617	5.142046
-2148747.410758	4426649.534937	4044662.594237	5.044888
-2148747.475402	4426649.803474	4044662.707018	1.297135
-2148747.569083	4426650.153015	4044662.880873	3.265257
-2148747.671589	4426650.607715	4044663.057305	4.488893
-2148747.746423	4426650.671011	4044663.060339	5.007639
-2148747.689718	4426650.555478	4044663.060445	5.261570
-2148747.824284	4426650.697739	4044663.194892	5.621495
-2148747.834654	4426650.650877	4044663.316550	5.778863
-2148747.736218	4426650.537629	4044664.042961	6.208057
-2148747.719800	4426650.676310	4044663.975262	6.249436
-2148747.879001	4426651.149122	4044664.006705	6.648766
-2148747.984881	4426651.333715	4044664.047211	6.820705
-2148747.924723	4426651.274299	4044663.971315	6.827431
-2148747.964499	4426651.436101	4044663.953735	6.686664
-2148747.989843	4426651.670652	4044663.966168	6.738645
-2148748.075810	4426651.774031	4044664.034108	6.774862
-2148748.075237	4426651.668453	4044664.160399	6.802575
-2148748.086561	4426651.804601	4044664.208665	6.911138
-2148748.170083	4426652.147350	4044664.351327	7.133467
-2148748.301614	4426652.435422	4044664.490975	7.367730
-2148748.313936	4426652.550928	4044664.401836	7.279482
-2148748.350587	4426652.707005	4044664.367495	7.385020
-2148748.480069	4426652.856752	4044664.410088	7.473394
-2148748.664882	4426653.180387	4044664.549623	7.726641
-2148748.735162	4426653.217385	4044664.669130	7.811044
-2148746.299249	4426643.088361	4044662.114334	0.957789
